token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0xcdb7a5dc319016118e9e420620310860a18fa478,559000000,0x8efb00b8f308ee7edd12c8b336f9e32b8616d76125c949d15f83d16b5ee6d437,51,6525300
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,0x78903c52de3923d203881f1b766160cba5a37f59,0x964f2b889751df6f3af5920874586fbda0d38aa6,973000000,0x4ae2d7810f1b8413aadbdd5300f41d9fe84a993badc610ca72d26ffc79d70d54,52,6525300
0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x3da0e5662d60eef30113339a4914af9c8130634a,0xd1e680310db70785e37c44a17f0e2f6bacfd2918,2.93742E+21,0x2bb97c6913493118c89088db95ee47557438c4451d723c6378150364c65bb076,57,6525300
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xf20b9e713a33f61fa38792d2afaf1cd30339126a,2.43408E+20,0xa703172d90c05795529f6bb1e2d587f34a7ab0460a88b9951aacb25302ef2f09,14,6525301
0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xf20b9e713a33f61fa38792d2afaf1cd30339126a,0x8c2036ce61648fcddffb06d6d11fe0b479ed63fe,2.43408E+20,0xa703172d90c05795529f6bb1e2d587f34a7ab0460a88b9951aacb25302ef2f09,18,6525301
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x724791f802119a6dbc2999872f34e8286c083df4,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,9.61365E+18,0x886659afd4804e087bacf7e6c2e88aecef10d1a41e67f72d25bbedc3a0210087,94,6525301
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x710c2b6c4e42ce41436ee2e316f63a98dfc0d603,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,9.43E+18,0x3ccf5bd660566e3ebd3af33dd0267d0a6613fee83c6bc93bdd64a2fd0a82c02f,95,6525301
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x70644b27be352c45de49051c9ed7857a0f2bec6a,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1.7711E+19,0xa41f72635b0899879b365611c6eb2841d3c945b835acf8abdc0ab202a111e632,98,6525301
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x6f0187c6135e149f79eaefc235aab69154523e7a,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,4.90707E+19,0xb9cf9138ed6f5fd6920b22a0985ca8487a8281c9ffdf73c57c8dc9652decf9b1,101,6525301
0xb8c77482e45f1f44de1745f52c74426c631bdd52,0x6d20d6e5400678022fc5b689113cd6e16166f984,0xaeec6f5aca72f3a005af1b3420ab8c8c7009bac8,1.99981E+21,0xffac091d42eb56f973954a088ac343108527cfb9abe0f270cbf4e2df2ad101b8,102,6525301
